x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-21.00000E-06,,,,
-20.95000E-06,,,,
-20.90000E-06,+547.73867689E-03,+533.51255797E-03,+543.59295324E-03,-6.47613464E-03
-20.85000E-06,+547.73867689E-03,+544.81909052E-03,+534.79898348E-03,-1.95352163E-03
-20.80000E-06,+547.73867689E-03,+525.97486961E-03,+515.95476258E-03,-1.19975279E-03
-20.75000E-06,+531.40701877E-03,+524.71858822E-03,+531.03013930E-03,-1.45100907E-03
-20.70000E-06,+547.73867689E-03,+544.81909052E-03,+546.10551603E-03,-10.99874766E-03
-20.65000E-06,+547.73867689E-03,+524.71858822E-03,+534.79898348E-03,-5.97362209E-03
-20.60000E-06,+565.32661640E-03,+524.71858822E-03,+536.05526488E-03,-4.71734069E-03
-20.55000E-06,+547.73867689E-03,+541.05024633E-03,+534.79898348E-03,-4.71734069E-03
-20.50000E-06,+547.73867689E-03,+533.51255797E-03,+526.00501373E-03,-2.95854674E-03
-20.45000E-06,+547.73867689E-03,+537.28140215E-03,+528.51757652E-03,-7.48115976E-03
-20.40000E-06,+547.73867689E-03,+543.56280912E-03,+554.89948578E-03,-8.48618487E-03
-20.35000E-06,+547.73867689E-03,+524.71858822E-03,+518.46732537E-03,-3.96357186E-03
-20.30000E-06,+536.43214435E-03,+524.71858822E-03,+543.59295324E-03,-5.21985325E-03
-20.25000E-06,+554.02008386E-03,+538.53768355E-03,+554.89948578E-03,-1.95352163E-03
-20.20000E-06,+548.99495828E-03,+524.71858822E-03,+534.79898348E-03,-4.71734069E-03
-20.15000E-06,+531.40701877E-03,+524.71858822E-03,+547.36179742E-03,+3.32286023E-03
-20.10000E-06,+550.25123968E-03,+544.81909052E-03,+526.00501373E-03,-4.71734069E-03
-20.05000E-06,+533.91958156E-03,+530.99999519E-03,+542.33667185E-03,-4.71734069E-03
-20.00000E-06,+528.89445599E-03,+524.71858822E-03,+534.79898348E-03,-8.48618487E-03
-19.95000E-06,+551.50752107E-03,+541.05024633E-03,+534.79898348E-03,-3.96357186E-03
-19.90000E-06,+547.73867689E-03,+536.02512076E-03,+534.79898348E-03,-697.24023E-06
-19.85000E-06,+547.73867689E-03,+524.71858822E-03,+541.08039045E-03,-697.24023E-06
-19.80000E-06,+546.48239550E-03,+563.66331142E-03,+534.79898348E-03,-8.48618487E-03
-19.75000E-06,+527.63817459E-03,+544.81909052E-03,+534.79898348E-03,-697.24023E-06
-19.70000E-06,+538.94470714E-03,+524.71858822E-03,+534.79898348E-03,-2.95854674E-03
-19.65000E-06,+541.45726992E-03,+524.71858822E-03,+528.51757652E-03,-4.71734069E-03
-19.60000E-06,+566.58289779E-03,+544.81909052E-03,+534.79898348E-03,-4.46608441E-03
-19.55000E-06,+531.40701877E-03,+544.81909052E-03,+531.03013930E-03,-4.71734069E-03
-19.50000E-06,+516.33164205E-03,+524.71858822E-03,+532.28642070E-03,-6.47613464E-03
-19.45000E-06,+533.91958156E-03,+558.63818585E-03,+527.26129512E-03,+810.29744E-06
-19.40000E-06,+566.58289779E-03,+524.71858822E-03,+534.79898348E-03,-4.71734069E-03
-19.35000E-06,+520.10048623E-03,+557.38190445E-03,+551.13064160E-03,-7.22990348E-03
-19.30000E-06,+527.63817459E-03,+544.81909052E-03,+534.79898348E-03,-8.73744115E-03
-19.25000E-06,+554.02008386E-03,+538.53768355E-03,+514.69848119E-03,-1.95352163E-03
-19.20000E-06,+548.99495828E-03,+543.56280912E-03,+515.95476258E-03,-5.21985325E-03
-19.15000E-06,+523.86933041E-03,+544.81909052E-03,+534.79898348E-03,-7.98367232E-03
-19.10000E-06,+538.94470714E-03,+553.61306027E-03,+526.00501373E-03,-6.97864720E-03
-19.05000E-06,+547.73867689E-03,+558.63818585E-03,+514.69848119E-03,-1.95352163E-03
-19.00000E-06,+547.73867689E-03,+543.56280912E-03,+553.64320439E-03,-4.46608441E-03
-18.95000E-06,+560.30149083E-03,+528.48743240E-03,+538.56782767E-03,+1.81532255E-03
-18.90000E-06,+538.94470714E-03,+524.71858822E-03,+523.49245094E-03,-4.71734069E-03
-18.85000E-06,+547.73867689E-03,+538.53768355E-03,+541.08039045E-03,-4.71734069E-03
-18.80000E-06,+547.73867689E-03,+544.81909052E-03,+536.05526488E-03,-4.71734069E-03
-18.75000E-06,+543.96983271E-03,+528.48743240E-03,+534.79898348E-03,-5.47110953E-03
-18.70000E-06,+547.73867689E-03,+533.51255797E-03,+534.79898348E-03,-2.45603418E-03
-18.65000E-06,+561.55777222E-03,+530.99999519E-03,+547.36179742E-03,-5.97362209E-03
-18.60000E-06,+528.89445599E-03,+525.97486961E-03,+515.95476258E-03,-4.46608441E-03
-18.55000E-06,+564.07033501E-03,+548.58793470E-03,+534.79898348E-03,-2.20477791E-03
-18.50000E-06,+536.43214435E-03,+553.61306027E-03,+526.00501373E-03,-6.47613464E-03
-18.45000E-06,+561.55777222E-03,+530.99999519E-03,+528.51757652E-03,-1.95352163E-03
-18.40000E-06,+547.73867689E-03,+525.97486961E-03,+533.54270209E-03,-8.73744115E-03
