x-axis,1,2,3
second,Volt,Volt,Volt
-20.00000E-06,+628.14068608E-03,+593.21607277E-03,+577.88945176E-03
-19.95000E-06,+603.01505821E-03,+578.14069605E-03,+577.88945176E-03
-19.90000E-06,+577.88943034E-03,+583.16582162E-03,+597.98995405E-03
-19.85000E-06,+567.83917919E-03,+578.14069604E-03,+577.88945176E-03
-19.80000E-06,+587.93968149E-03,+593.21607277E-03,+577.88945176E-03
-19.75000E-06,+608.04018378E-03,+573.11557047E-03,+577.88945176E-03
-19.70000E-06,+587.93968149E-03,+573.11557047E-03,+597.98995405E-03
-19.65000E-06,+572.86430476E-03,+573.11557047E-03,+572.86432618E-03
-19.60000E-06,+587.93968149E-03,+573.11557047E-03,+557.78894946E-03
-19.55000E-06,+562.81405361E-03,+573.11557047E-03,+577.88945176E-03
-19.50000E-06,+567.83917919E-03,+563.06531932E-03,+587.93970291E-03
-19.45000E-06,+572.86430476E-03,+568.09044490E-03,+592.96482848E-03
-19.40000E-06,+608.04018378E-03,+553.01506817E-03,+577.88945176E-03
-19.35000E-06,+582.91455591E-03,+578.14069605E-03,+562.81407503E-03
-19.30000E-06,+577.88943034E-03,+583.16582162E-03,+567.83920061E-03
-19.25000E-06,+577.88943034E-03,+578.14069604E-03,+562.81407503E-03
-19.20000E-06,+587.93968149E-03,+593.21607277E-03,+557.78894946E-03
-19.15000E-06,+582.91455591E-03,+573.11557047E-03,+567.83920061E-03
-19.10000E-06,+597.98993263E-03,+583.16582162E-03,+597.98995405E-03
-19.05000E-06,+577.88943034E-03,+583.16582162E-03,+577.88945176E-03
-19.00000E-06,+587.93968149E-03,+553.01506817E-03,+557.78894946E-03
-18.95000E-06,+587.93968149E-03,+588.19094719E-03,+557.78894946E-03
-18.90000E-06,+587.93968149E-03,+563.06531932E-03,+577.88945176E-03
-18.85000E-06,+572.86430476E-03,+593.21607277E-03,+577.88945176E-03
-18.80000E-06,+567.83917919E-03,+593.21607277E-03,+557.78894946E-03
-18.75000E-06,+587.93968149E-03,+558.04019375E-03,+582.91457733E-03
-18.70000E-06,+577.88943034E-03,+583.16582162E-03,+587.93970291E-03
-18.65000E-06,+592.96480706E-03,+568.09044490E-03,+592.96482848E-03
-18.60000E-06,+567.83917919E-03,+573.11557047E-03,+577.88945176E-03
-18.55000E-06,+582.91455591E-03,+573.11557047E-03,+582.91457733E-03
-18.50000E-06,+557.78892804E-03,+573.11557047E-03,+557.78894946E-03
-18.45000E-06,+597.98993263E-03,+568.09044490E-03,+577.88945176E-03
-18.40000E-06,+567.83917919E-03,+593.21607277E-03,+577.88945176E-03
-18.35000E-06,+577.88943034E-03,+588.19094719E-03,+592.96482848E-03
-18.30000E-06,+577.88943034E-03,+583.16582162E-03,+567.83920061E-03
-18.25000E-06,+567.83917919E-03,+558.04019375E-03,+562.81407503E-03
-18.20000E-06,+567.83917919E-03,+573.11557047E-03,+577.88945176E-03
-18.15000E-06,+587.93968149E-03,+578.14069605E-03,+577.88945176E-03
-18.10000E-06,+597.98993263E-03,+573.11557047E-03,+567.83920061E-03
-18.05000E-06,+567.83917919E-03,+588.19094719E-03,+557.78894946E-03
-18.00000E-06,+567.83917919E-03,+593.21607277E-03,+577.88945176E-03
-17.95000E-06,+572.86430476E-03,+568.09044490E-03,+562.81407503E-03
-17.90000E-06,+577.88943033E-03,+573.11557047E-03,+577.88945176E-03
-17.85000E-06,+597.98993264E-03,+578.14069604E-03,+577.88945176E-03
-17.80000E-06,+587.93968149E-03,+573.11557047E-03,+577.88945176E-03
-17.75000E-06,+572.86430476E-03,+573.11557047E-03,+567.83920061E-03
-17.70000E-06,+577.88943034E-03,+573.11557047E-03,+547.73869831E-03
-17.65000E-06,+572.86430476E-03,+578.14069604E-03,+577.88945176E-03
-17.60000E-06,+587.93968149E-03,+573.11557047E-03,+577.88945176E-03
-17.55000E-06,+542.71355132E-03,+568.09044490E-03,+592.96482848E-03
-17.50000E-06,+587.93968149E-03,+563.06531932E-03,+557.78894946E-03
-17.45000E-06,+572.86430476E-03,+573.11557047E-03,+547.73869831E-03
-17.40000E-06,+587.93968149E-03,+593.21607277E-03,+577.88945176E-03
-17.35000E-06,+567.83917919E-03,+593.21607277E-03,+562.81407503E-03
-17.30000E-06,+577.88943034E-03,+553.01506817E-03,+587.93970291E-03
-17.25000E-06,+587.93968149E-03,+558.04019375E-03,+572.86432618E-03
-17.20000E-06,+587.93968149E-03,+573.11557047E-03,+557.78894946E-03
-17.15000E-06,+592.96480706E-03,+578.14069605E-03,+572.86432618E-03
-17.10000E-06,+557.78892804E-03,+583.16582162E-03,+567.83920061E-03
-17.05000E-06,+572.86430476E-03,+573.11557047E-03,+577.88945176E-03
-17.00000E-06,+587.93968149E-03,+573.11557047E-03,+557.78894946E-03
-16.95000E-06,+572.86430476E-03,+558.04019375E-03,+572.86432619E-03
-16.90000E-06,+597.98993263E-03,+563.06531932E-03,+557.78894946E-03
-16.85000E-06,+557.78892804E-03,+568.09044490E-03,+562.81407503E-03
-16.80000E-06,+587.93968148E-03,+553.01506817E-03,+577.88945176E-03
-16.75000E-06,+587.93968149E-03,+558.04019375E-03,+592.96482848E-03
-16.70000E-06,+577.88943034E-03,+573.11557047E-03,+587.93970291E-03
-16.65000E-06,+582.91455591E-03,+588.19094719E-03,+567.83920061E-03
-16.60000E-06,+587.93968148E-03,+593.21607277E-03,+597.98995405E-03
-16.55000E-06,+567.83917919E-03,+573.11557047E-03,+592.96482848E-03
-16.50000E-06,+587.93968149E-03,+563.06531932E-03,+567.83920061E-03
-16.45000E-06,+608.04018378E-03,+558.04019375E-03,+587.93970291E-03
-16.40000E-06,+587.93968149E-03,+573.11557047E-03,+537.68844716E-03
-16.35000E-06,+572.86430476E-03,+588.19094719E-03,+572.86432618E-03
-16.30000E-06,+597.98993264E-03,+563.06531932E-03,+577.88945176E-03
-16.25000E-06,+587.93968149E-03,+603.26632392E-03,+557.78894946E-03
-16.20000E-06,+587.93968149E-03,+573.11557047E-03,+557.78894946E-03
-16.15000E-06,+587.93968149E-03,+593.21607277E-03,+552.76382389E-03
-16.10000E-06,+567.83917919E-03,+573.11557047E-03,+587.93970290E-03
-16.05000E-06,+577.88943033E-03,+568.09044490E-03,+577.88945176E-03
-16.00000E-06,+567.83917919E-03,+573.11557047E-03,+597.98995405E-03
-15.95000E-06,+577.88943033E-03,+588.19094719E-03,+592.96482848E-03
-15.90000E-06,+587.93968149E-03,+573.11557047E-03,+567.83920061E-03
-15.85000E-06,+582.91455591E-03,+603.26632392E-03,+582.91457733E-03
