x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.00000E-06,+519.03262548E-03,+541.36306047E-03,+539.03893754E-03,+488.56782913E-03
-19.95000E-06,+554.20850450E-03,+541.36306047E-03,+534.01381196E-03,+508.66833143E-03
-19.90000E-06,+539.13312778E-03,+531.31280933E-03,+508.88818409E-03,+478.51757798E-03
-19.85000E-06,+524.05775106E-03,+506.18718145E-03,+528.98868639E-03,+503.64320586E-03
-19.80000E-06,+539.13312778E-03,+501.16205588E-03,+498.83793294E-03,+508.66833143E-03
-19.75000E-06,+539.13312778E-03,+536.33793490E-03,+539.03893754E-03,+488.56782913E-03
-19.70000E-06,+529.08287663E-03,+521.26255818E-03,+518.93843524E-03,+508.66833143E-03
-19.65000E-06,+514.00749991E-03,+511.21230703E-03,+508.88818409E-03,+498.61808028E-03
-19.60000E-06,+519.03262548E-03,+541.36306047E-03,+498.83793294E-03,+528.76883373E-03
-19.55000E-06,+539.13312778E-03,+521.26255818E-03,+518.93843524E-03,+478.51757798E-03
-19.50000E-06,+529.08287663E-03,+531.31280933E-03,+518.93843524E-03,+508.66833143E-03
-19.45000E-06,+534.10800220E-03,+491.11180473E-03,+539.03893754E-03,+503.64320586E-03
-19.40000E-06,+579.33413237E-03,+501.16205588E-03,+518.93843524E-03,+528.76883373E-03
-19.35000E-06,+549.18337893E-03,+536.33793490E-03,+483.76255622E-03,+508.66833143E-03
-19.30000E-06,+539.13312778E-03,+531.31280933E-03,+528.98868639E-03,+498.61808028E-03
-19.25000E-06,+514.00749991E-03,+506.18718145E-03,+518.93843524E-03,+488.56782913E-03
-19.20000E-06,+519.03262548E-03,+521.26255818E-03,+539.03893754E-03,+508.66833143E-03
-19.15000E-06,+524.05775106E-03,+541.36306047E-03,+539.03893754E-03,+503.64320585E-03
-19.10000E-06,+549.18337893E-03,+511.21230703E-03,+508.88818409E-03,+508.66833143E-03
-19.05000E-06,+529.08287663E-03,+536.33793490E-03,+539.03893754E-03,+523.74370815E-03
-19.00000E-06,+539.13312778E-03,+521.26255818E-03,+539.03893754E-03,+528.76883373E-03
-18.95000E-06,+544.15825335E-03,+506.18718145E-03,+523.96356082E-03,+503.64320585E-03
-18.90000E-06,+539.13312778E-03,+531.31280933E-03,+518.93843524E-03,+518.71858258E-03
-18.85000E-06,+544.15825335E-03,+541.36306047E-03,+518.93843524E-03,+523.74370815E-03
-18.80000E-06,+498.93212318E-03,+521.26255818E-03,+539.03893754E-03,+508.66833143E-03
-18.75000E-06,+534.10800220E-03,+516.23743260E-03,+518.93843524E-03,+503.64320585E-03
-18.70000E-06,+529.08287663E-03,+511.21230703E-03,+518.93843524E-03,+488.56782913E-03
-18.65000E-06,+508.98237433E-03,+521.26255818E-03,+513.91330967E-03,+503.64320586E-03
-18.60000E-06,+539.13312778E-03,+521.26255818E-03,+518.93843524E-03,+508.66833143E-03
-18.55000E-06,+529.08287663E-03,+526.28768375E-03,+518.93843524E-03,+488.56782913E-03
-18.50000E-06,+529.08287663E-03,+541.36306047E-03,+518.93843524E-03,+498.61808028E-03
-18.45000E-06,+539.13312778E-03,+536.33793490E-03,+503.86305852E-03,+488.56782913E-03
-18.40000E-06,+519.03262548E-03,+521.26255818E-03,+518.93843524E-03,+488.56782913E-03
-18.35000E-06,+539.13312778E-03,+526.28768375E-03,+508.88818409E-03,+508.66833143E-03
-18.30000E-06,+549.18337893E-03,+511.21230703E-03,+518.93843524E-03,+508.66833143E-03
-18.25000E-06,+519.03262548E-03,+521.26255818E-03,+518.93843524E-03,+508.66833143E-03
-18.20000E-06,+539.13312778E-03,+541.36306047E-03,+518.93843524E-03,+508.66833143E-03
-18.15000E-06,+534.10800220E-03,+516.23743260E-03,+513.91330967E-03,+508.66833143E-03
-18.10000E-06,+539.13312778E-03,+531.31280933E-03,+518.93843524E-03,+508.66833143E-03
-18.05000E-06,+524.05775106E-03,+526.28768375E-03,+518.93843524E-03,+523.74370815E-03
-18.00000E-06,+559.23363008E-03,+521.26255818E-03,+539.03893754E-03,+528.76883373E-03
-17.95000E-06,+549.18337893E-03,+511.21230703E-03,+534.01381196E-03,+488.56782913E-03
-17.90000E-06,+519.03262548E-03,+541.36306047E-03,+528.98868639E-03,+498.61808028E-03
-17.85000E-06,+534.10800221E-03,+506.18718145E-03,+518.93843524E-03,+513.69345700E-03
-17.80000E-06,+539.13312778E-03,+521.26255818E-03,+518.93843524E-03,+508.66833143E-03
-17.75000E-06,+524.05775106E-03,+546.38818605E-03,+518.93843524E-03,+508.66833143E-03
-17.70000E-06,+508.98237433E-03,+521.26255818E-03,+518.93843524E-03,+498.61808028E-03
-17.65000E-06,+539.13312778E-03,+536.33793490E-03,+534.01381197E-03,+508.66833143E-03
-17.60000E-06,+559.23363008E-03,+541.36306047E-03,+518.93843524E-03,+508.66833143E-03
-17.55000E-06,+554.20850450E-03,+511.21230703E-03,+503.86305852E-03,+503.64320585E-03
-17.50000E-06,+519.03262548E-03,+531.31280933E-03,+518.93843524E-03,+508.66833143E-03
-17.45000E-06,+508.98237433E-03,+506.18718145E-03,+534.01381197E-03,+508.66833143E-03
-17.40000E-06,+539.13312778E-03,+501.16205588E-03,+518.93843524E-03,+528.76883373E-03
-17.35000E-06,+524.05775106E-03,+521.26255818E-03,+539.03893754E-03,+498.61808028E-03
-17.30000E-06,+529.08287663E-03,+541.36306047E-03,+518.93843524E-03,+508.66833143E-03
-17.25000E-06,+534.10800221E-03,+526.28768375E-03,+513.91330967E-03,+493.59295471E-03
-17.20000E-06,+539.13312778E-03,+521.26255818E-03,+539.03893754E-03,+528.76883372E-03
-17.15000E-06,+534.10800220E-03,+521.26255818E-03,+518.93843524E-03,+498.61808028E-03
-17.10000E-06,+508.98237433E-03,+521.26255818E-03,+528.98868639E-03,+498.61808028E-03
-17.05000E-06,+524.05775105E-03,+521.26255818E-03,+518.93843524E-03,+513.69345700E-03
-17.00000E-06,+539.13312778E-03,+521.26255818E-03,+539.03893754E-03,+528.76883372E-03
-16.95000E-06,+529.08287663E-03,+536.33793490E-03,+518.93843524E-03,+508.66833143E-03
-16.90000E-06,+529.08287663E-03,+531.31280933E-03,+508.88818409E-03,+508.66833143E-03
-16.85000E-06,+529.08287663E-03,+516.23743260E-03,+539.03893754E-03,+508.66833143E-03
-16.80000E-06,+539.13312778E-03,+521.26255818E-03,+518.93843524E-03,+508.66833143E-03
-16.75000E-06,+549.18337893E-03,+506.18718146E-03,+513.91330967E-03,+488.56782913E-03
-16.70000E-06,+529.08287663E-03,+531.31280933E-03,+528.98868639E-03,+518.71858258E-03
-16.65000E-06,+508.98237433E-03,+526.28768375E-03,+508.88818409E-03,+508.66833143E-03
-16.60000E-06,+519.03262548E-03,+501.16205588E-03,+518.93843524E-03,+488.56782913E-03
