x-axis,1,2,3
second,Volt,Volt,Volt
-15.20000E-06,,,
-15.15000E-06,-30.40208365E-03,+117.33680056E-03,+462.65702171E-03
-15.10000E-06,+29.89942324E-03,+46.98504251E-03,+409.26506248E-03
-15.05000E-06,-37.93977201E-03,-20.85415274E-03,+426.22486129E-03
-15.00000E-06,+14.82404652E-03,-20.85415274E-03,+426.22486129E-03
-14.95000E-06,+34.92454882E-03,+52.01016809E-03,+409.89320318E-03
-14.90000E-06,-37.93977201E-03,-8.29133880E-03,+419.94345433E-03
-14.85000E-06,+42.46223718E-03,+26.88454022E-03,+406.12435900E-03
-14.80000E-06,+42.46223718E-03,-48.49234340E-03,+413.03390666E-03
-14.75000E-06,-37.93977201E-03,-13.31646438E-03,+426.22486129E-03
-14.70000E-06,-50.50258595E-03,+46.98504251E-03,+446.32536359E-03
-14.65000E-06,-5.27645578E-03,+11.80916349E-03,+426.22486129E-03
-14.60000E-06,-90.70359054E-03,-20.85415274E-03,+439.41581593E-03
-14.55000E-06,+34.92454882E-03,+59.54785645E-03,+408.00878109E-03
-14.50000E-06,+97.73861850E-03,-20.85415274E-03,+426.22486129E-03
-14.45000E-06,-70.60308824E-03,-20.85415274E-03,+426.22486129E-03
-14.40000E-06,+14.82404652E-03,-20.85415274E-03,+419.94345433E-03
-14.35000E-06,+42.46223718E-03,-28.39184110E-03,+424.34043920E-03
-14.30000E-06,-25.37695807E-03,+46.98504251E-03,+443.18466011E-03
-14.25000E-06,+9.79892095E-03,-53.51746897E-03,+434.39069035E-03
-14.20000E-06,+14.82404652E-03,-20.85415274E-03,+433.13440896E-03
-14.15000E-06,-30.40208365E-03,-20.85415274E-03,+428.10928338E-03
-14.10000E-06,-25.37695807E-03,-20.85415274E-03,+412.40576596E-03
-14.05000E-06,+42.46223718E-03,+11.80916349E-03,+434.39069035E-03
-14.00000E-06,+14.82404652E-03,+59.54785645E-03,+413.03390666E-03
-13.95000E-06,+42.46223718E-03,-20.85415274E-03,+424.34043920E-03
-13.90000E-06,-25.37695807E-03,-88.69334799E-03,+443.18466011E-03
-13.85000E-06,-5.27645578E-03,+26.88454022E-03,+438.15953453E-03
-13.80000E-06,-10.30158135E-03,+59.54785645E-03,+426.22486129E-03
-13.75000E-06,+34.92454882E-03,+44.47247973E-03,+408.00878109E-03
-13.70000E-06,+42.46223718E-03,+46.98504252E-03,+426.22486129E-03
-13.65000E-06,+90.20093014E-03,+26.88454022E-03,+418.05903224E-03
-13.60000E-06,-10.30158135E-03,+1.31834181282E+00,+433.13440896E-03
-13.55000E-06,-30.40208365E-03,+2.15000009537E+00,+446.32536359E-03
-13.50000E-06,-25.37695807E-03,+2.16256290930E+00,+446.32536359E-03
-13.45000E-06,+42.46223718E-03,+2.15000009537E+00,+418.05903224E-03
-13.40000E-06,-37.93977201E-03,+1.05201015738E+00,+426.22486129E-03
-13.35000E-06,+42.46223718E-03,+52.01016809E-03,+389.79270088E-03
-13.30000E-06,+55.02505111E-03,-20.85415274E-03,+406.12435900E-03
-13.25000E-06,+9.79892095E-03,+26.88454022E-03,+402.35551482E-03
-13.20000E-06,+17.33660931E-03,+1.23793980363E+00,+413.03390666E-03
-13.15000E-06,-37.93977201E-03,+2.07713577454E+00,+426.22486129E-03
-13.10000E-06,+42.46223718E-03,+2.23040210456E+00,+409.26506248E-03
-13.05000E-06,-22.86439529E-03,+2.18266341160E+00,+434.39069035E-03
-13.00000E-06,-37.93977201E-03,+1.07964834804E+00,+465.79772519E-03
-12.95000E-06,+34.92454882E-03,-20.85415274E-03,+429.99370548E-03
-12.90000E-06,-37.93977201E-03,+34.42222858E-03,+426.22486129E-03
-12.85000E-06,-37.93977201E-03,-20.85415274E-03,+414.29018805E-03
-12.80000E-06,-10.30158135E-03,+1.21030161297E+00,+419.94345433E-03
-12.75000E-06,-37.93977201E-03,+2.14246240701E+00,+406.12435900E-03
-12.70000E-06,+17.33660931E-03,+2.23040210456E+00,+426.22486129E-03
-12.65000E-06,-5.27645578E-03,+2.10226140241E+00,+438.15953453E-03
-12.60000E-06,-37.93977201E-03,+1.05201015738E+00,+459.51631822E-03
-12.55000E-06,+49.99992554E-03,+52.01016809E-03,+426.22486129E-03
-12.50000E-06,+29.89942324E-03,-20.85415274E-03,+423.08415781E-03
-12.45000E-06,+42.46223718E-03,-20.85415274E-03,+422.45601711E-03
-12.40000E-06,+70.10042784E-03,+1.18517598510E+00,+439.41581593E-03
-12.35000E-06,-30.40208365E-03,+2.07713577454E+00,+424.34043920E-03
-12.30000E-06,+29.89942324E-03,+2.16256290930E+00,+426.22486129E-03
-12.25000E-06,-37.93977201E-03,+2.15000009537E+00,+446.32536359E-03
-12.20000E-06,-90.70359054E-03,+1.10728653870E+00,+445.69722289E-03
-12.15000E-06,+34.92454882E-03,-20.85415274E-03,+424.34043920E-03
-12.10000E-06,+42.46223718E-03,-20.85415274E-03,+423.08415781E-03
-12.05000E-06,-5.27645578E-03,+26.88454022E-03,+418.05903224E-03
-12.00000E-06,-37.93977201E-03,+1.21281417576E+00,+406.12435900E-03
-11.95000E-06,-103.26640447E-03,+2.15000009537E+00,+426.22486129E-03
-11.90000E-06,-25.37695808E-03,+2.15000009537E+00,+409.26506248E-03
-11.85000E-06,+9.79892095E-03,+2.18266341160E+00,+438.15953453E-03
-11.80000E-06,-37.93977201E-03,+1.02688452951E+00,+425.59672060E-03
-11.75000E-06,+34.92454882E-03,-20.85415274E-03,+426.22486129E-03
-11.70000E-06,-37.93977201E-03,-20.85415274E-03,+440.04395662E-03
-11.65000E-06,+42.46223718E-03,+26.88454022E-03,+434.39069035E-03
-11.60000E-06,-37.93977201E-03,+1.23793980363E+00,+419.94345433E-03
-11.55000E-06,-37.93977201E-03,+2.14246240700E+00,+426.22486129E-03
-11.50000E-06,-37.93977201E-03,+2.13743728143E+00,+446.32536359E-03
-11.45000E-06,-37.93977201E-03,+2.15000009537E+00,+438.15953453E-03
-11.40000E-06,-37.93977201E-03,+1.02688452951E+00,+445.69722289E-03
-11.35000E-06,-45.47746037E-03,-20.85415274E-03,+444.44094150E-03
-11.30000E-06,+42.46223718E-03,-20.85415274E-03,+429.36556478E-03
-11.25000E-06,-5.27645578E-03,+11.80916349E-03,+422.45601711E-03
-11.20000E-06,-10.30158135E-03,+1.26557799429E+00,+419.94345433E-03
-11.15000E-06,+49.99992554E-03,+2.07713577454E+00,+444.44094150E-03
-11.10000E-06,-50.50258594E-03,+2.23040210456E+00,+409.26506248E-03
-11.05000E-06,-5.27645578E-03,+2.18266341160E+00,+426.22486129E-03
-11.00000E-06,-65.57796267E-03,+1.02688452951E+00,+445.69722289E-03
-10.95000E-06,+42.46223718E-03,-20.85415274E-03,+428.10928338E-03
-10.90000E-06,-105.77896727E-03,-20.85415274E-03,+443.18466011E-03
-10.85000E-06,-85.67846497E-03,+26.88454022E-03,+426.22486129E-03
-10.80000E-06,+70.10042784E-03,+1.21030161297E+00,+433.13440896E-03
-10.75000E-06,+115.32655800E-03,+2.07713577454E+00,+409.89320318E-03
-10.70000E-06,-25.37695808E-03,+2.06959808618E+00,+443.18466011E-03
-10.65000E-06,+9.79892095E-03,+2.11733677914E+00,+409.89320318E-03
-10.60000E-06,+14.82404652E-03,+1.10477397591E+00,+426.22486129E-03
-10.55000E-06,-37.93977201E-03,+59.54785645E-03,+444.44094150E-03
