x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+71.52000E-06,+998.17831069E-03,+990.89194450E-03,+163.88190538E-03,+55.65322930E-03
+71.54500E-06,+1.06978635013E+00,+1.17054018378E+00,+143.78140308E-03,+40.57785257E-03
+71.57000E-06,+1.32104262884E+00,+1.33260048355E+00,+143.15326238E-03,+44.34669676E-03
+71.59500E-06,+1.25069087080E+00,+1.30244973011E+00,+172.67587513E-03,-879.43341E-06
+71.62000E-06,+1.40018835664E+00,+1.37154520676E+00,+113.00250894E-03,-55.52767403E-03
+71.64500E-06,+1.33360544278E+00,+1.29114319757E+00,+163.88190538E-03,+44.97483745E-03
+71.67000E-06,+1.36124363344E+00,+1.41048992996E+00,+144.40954378E-03,+23.61805376E-03
+71.69500E-06,+1.31978634745E+00,+1.32003766962E+00,+143.78140308E-03,+4.77383286E-03
+71.72000E-06,+1.36249991483E+00,+1.37154520676E+00,+143.78140308E-03,-24.74877989E-03
+71.74500E-06,+1.31978634745E+00,+1.25973616273E+00,+139.38441820E-03,+4.77383286E-03
+71.77000E-06,+999.43459209E-03,+1.04993717000E+00,+183.35426698E-03,+6.03011425E-03
+71.79500E-06,+1.06727378734E+00,+1.04993717000E+00,+149.43466935E-03,+28.01503864E-03
+71.82000E-06,+1.01953509438E+00,+990.89194450E-03,+224.18341227E-03,+66.33162114E-03
+71.84500E-06,+1.07858031988E+00,+1.05873113975E+00,+163.88190538E-03,-19.72365432E-03
+71.87000E-06,+996.92202930E-03,+1.01099244680E+00,+203.45476927E-03,+44.97483745E-03
+71.89500E-06,+1.05596725480E+00,+1.03863063746E+00,+195.28894022E-03,+4.77383286E-03
+71.92000E-06,+1.00069087348E+00,+1.00973616540E+00,+174.56029722E-03,+26.13061655E-03
+71.94500E-06,+1.13260041981E+00,+1.19315324887E+00,+183.98240767E-03,+4.77383286E-03
+71.97000E-06,+1.31978634745E+00,+1.33260048355E+00,+162.62562398E-03,+44.34669676E-03
+71.99500E-06,+1.27958534285E+00,+1.26224872551E+00,+163.88190538E-03,+4.77383286E-03
+72.02000E-06,+1.37883157295E+00,+1.35018842306E+00,+102.32411709E-03,-35.42717174E-03
+72.04500E-06,+1.27958534285E+00,+1.29993716732E+00,+168.27889025E-03,+60.67835487E-03
+72.07000E-06,+1.39893207524E+00,+1.37154520676E+00,+144.40954378E-03,+24.87433515E-03
