x-axis,1,3,4,MATH1
second,Volt,Volt,Volt,Volt
+54.90000E-06,,,,
+54.92500E-06,+1.03837931529E+00,+163.44221681E-03,+71.16830198E-03,+91.64428711E-03
+54.95000E-06,+1.03837931529E+00,+157.16080985E-03,-5.46486303E-03,+161.71264648E-03
+54.97500E-06,+1.02204765717E+00,+139.57287034E-03,+18.40448345E-03,+120.42236328E-03
+55.00000E-06,+1.05094212922E+00,+176.00503075E-03,+61.11805083E-03,+114.16625977E-03
+55.02500E-06,+1.03461047111E+00,+152.13568427E-03,-1.69601885E-03,+152.95410156E-03
+55.05000E-06,+1.03837931529E+00,+129.52261919E-03,+34.73614156E-03,+94.14672852E-03
+55.07500E-06,+1.01450996881E+00,+163.44221681E-03,+10.86679508E-03,+151.70288086E-03
+55.10000E-06,+1.02456021996E+00,+137.06030755E-03,+8.35423230E-03,+127.92968750E-03
+55.12500E-06,+1.03461047111E+00,+163.44221681E-03,-5.46486303E-03,+167.96875000E-03
+55.15000E-06,+1.00445971766E+00,+163.44221681E-03,+62.37433222E-03,+100.40283203E-03
+55.17500E-06,+1.03084162693E+00,+147.11055870E-03,+34.73614156E-03,+111.66381836E-03
+55.20000E-06,+1.03837931529E+00,+149.62312148E-03,-5.46486303E-03,+154.20532227E-03
+55.22500E-06,+961.74615028E-03,+203.64322141E-03,+34.73614156E-03,+167.96875000E-03
+55.25000E-06,+1.07229891291E+00,+169.72362378E-03,+34.73614156E-03,+134.18579102E-03
+55.27500E-06,+1.01450996881E+00,+163.44221681E-03,+34.73614156E-03,+127.92968750E-03
+55.30000E-06,+1.03837931529E+00,+135.80402616E-03,+8.35423230E-03,+126.67846680E-03
+55.32500E-06,+998.17831069E-03,+159.67337263E-03,+34.73614156E-03,+124.17602539E-03
+55.35000E-06,+1.03209790832E+00,+123.24121222E-03,+68.65573919E-03,+54.10766602E-03
+55.37500E-06,+1.00571599905E+00,+147.11055870E-03,+10.86679509E-03,+135.43701172E-03
